Condition,Parameter,Accuracy,F1-Score,Acc Drop,F1 Drop
Clean,None,0.811,0.805530732844774,0.0,0.0
Gaussian Noise,sigma=0.1,0.807,0.8011151185541223,0.0040000000000000036,0.004415614290651626
Gaussian Noise,sigma=0.5,0.747,0.7277277027693716,0.06400000000000006,0.07780303007540235
Gaussian Noise,sigma=1.0,0.546,0.4658489314248649,0.265,0.33968180141990906
Blur,k=3,0.806,0.8003600165222201,0.0050000000000000044,0.005170716322553837
Blur,k=5,0.818,0.8129288771732974,-0.006999999999999895,-0.007398144328523482
Blur,k=7,0.801,0.7946394576020335,0.010000000000000009,0.010891275242740472
Contrast,factor=0.5,0.572,0.529660011738311,0.2390000000000001,0.27587072110646293
Contrast,factor=0.8,0.787,0.7734808336532217,0.02400000000000002,0.03204989919155221
